rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,rank_n,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,trend_category
2,California Institute of Technology,96.0,97.7,98.0,99.9,83.7,54.6,2243,0.07,0.27,2011,0.0004,0.9956,0.9781,0.9828,0.999,0.837,0.5113,0.0012,0.0069,0.2727,Declining
5,Princeton University,94.2,90.9,95.4,99.9,66.9,70.3,7929,0.08,0.27,2011,0.0018,0.9761,0.9038,0.9565,0.999,0.669,0.6803,0.0043,0.0081,0.2727,Declining
9,Imperial College London,90.6,89.2,94.5,88.3,92.9,90.0,15060,0.12,0.51,2011,0.0036,0.9369,0.8852,0.9474,0.8818,0.929,0.8924,0.0083,0.0127,0.5152,Declining
11,University of California-Los Angeles,87.7,83.0,92.9,93.2,62.6,48.1,38206,0.1,0.15,2011,0.0045,0.9053,0.8175,0.9312,0.9313,0.626,0.4413,0.0209,0.0104,0.1515,Declining
14,Cornell University,83.9,82.2,88.8,88.1,34.7,62.4,21424,0.1,0.19,2011,0.0058,0.864,0.8087,0.8898,0.8798,0.347,0.5953,0.0117,0.0104,0.1919,Declining
20,Carnegie Mellon University,79.3,70.3,79.3,95.7,53.7,39.1,11885,0.13,0.35,2011,0.0085,0.8139,0.6787,0.7937,0.9566,0.537,0.3445,0.0065,0.0139,0.3535,Declining
23,University of Washington,78.0,68.2,77.1,95.9,32.8,49.0,44020,0.12,0.13,2011,0.0099,0.7998,0.6557,0.7715,0.9586,0.328,0.451,0.0241,0.0127,0.1313,Declining
27,Georgia Institute of Technology,75.3,67.9,72.6,83.2,95.1,73.2,19967,0.2,0.26,2011,0.0116,0.7704,0.6525,0.726,0.8303,0.951,0.7115,0.0109,0.022,0.2626,Declining
29,University of California-Santa Barbara,75.0,56.6,68.0,98.8,89.8,64.3,22020,0.27,0.11,2011,0.0125,0.7671,0.529,0.6795,0.9879,0.898,0.6157,0.0121,0.0301,0.1111,Declining
30,University of British Columbia,73.8,65.1,74.8,80.3,42.6,93.3,50152,0.18,0.25,2011,0.013,0.7541,0.6219,0.7482,0.801,0.426,0.9279,0.0275,0.0197,0.2525,Declining
31,University of North Carolina at Chapel Hill,73.8,70.9,75.1,85.0,50.2,21.5,26518,0.07,0.08,2011,0.0134,0.7541,0.6852,0.7513,0.8485,0.502,0.155,0.0145,0.0069,0.0808,Declining
33,University of Illinois at Urbana-Champaign,73.0,68.1,80.9,72.9,56.6,55.9,42727,0.19,0.2,2011,0.0143,0.7454,0.6546,0.8099,0.7263,0.566,0.5253,0.0234,0.0208,0.202,Declining
35,McGill University,71.7,69.0,74.9,69.0,56.3,85.9,31326,0.14,0.23,2011,0.0152,0.7312,0.6645,0.7492,0.6869,0.563,0.8482,0.0172,0.015,0.2323,Declining
38,Washington University in St Louis,69.9,58.9,63.0,88.6,55.8,56.4,12528,0.06,0.17,2011,0.0166,0.7116,0.5541,0.6289,0.8848,0.558,0.5307,0.0069,0.0058,0.1717,Declining
43,Australian National University,67.0,51.9,62.4,81.0,55.1,93.9,14604,0.19,0.35,2011,0.0188,0.6801,0.4776,0.6229,0.8081,0.551,0.9343,0.008,0.0208,0.3535,Declining
45,University of G�ttingen,67.0,57.3,55.9,92.5,31.7,44.5,25581,0.26,0.12,2011,0.0197,0.6801,0.5366,0.5571,0.9242,0.317,0.4026,0.014,0.0289,0.1212,Declining
47,Rice University,66.9,57.4,50.6,99.1,29.2,31.2,6333,0.09,0.26,2011,0.0206,0.679,0.5377,0.5035,0.9909,0.292,0.2594,0.0035,0.0092,0.2626,Declining
