rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,rank_n,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,trend_category
7,University of Oxford,91.2,88.2,93.9,95.1,73.5,77.2,19919,0.12,0.34,2011,0.0027,0.9434,0.8743,0.9414,0.9505,0.735,0.7546,0.0109,0.0127,0.3434,Improving
34,National University of Singapore,72.9,65.5,72.6,78.7,40.5,97.8,31592,0.15,0.34,2011,0.0148,0.7443,0.6262,0.726,0.7848,0.405,0.9763,0.0173,0.0162,0.3434,Improving
37,Peking University,70.7,76.4,61.3,72.2,98.6,68.6,40148,0.08,0.14,2011,0.0161,0.7203,0.7454,0.6117,0.7192,0.986,0.662,0.022,0.0081,0.1414,Improving
50,University of Science and Technology of China,66.0,57.5,48.6,92.7,30.3,55.9,14290,0.08,0.02,2011,0.0219,0.6692,0.5388,0.4833,0.9263,0.303,0.5253,0.0078,0.0081,0.0202,Improving
58,Tsinghua University,64.2,74.9,66.6,52.7,97.8,43.0,39763,0.14,0.1,2011,0.0255,0.6496,0.729,0.6653,0.5222,0.978,0.3864,0.0218,0.015,0.101,Improving
60,New York University,63.9,62.0,50.7,82.9,53.3,31.8,42056,0.07,0.19,2011,0.0264,0.6464,0.588,0.5046,0.8273,0.533,0.2659,0.023,0.0069,0.1919,Improving
73,University of Adelaide,60.7,46.5,38.8,90.5,52.7,87.5,20771,0.3,0.26,2011,0.0322,0.6115,0.4186,0.3842,0.904,0.527,0.8654,0.0114,0.0335,0.2626,Improving
77,King s College London,59.7,48.5,54.5,72.1,44.1,85.9,21394,0.11,0.37,2011,0.034,0.6007,0.4404,0.543,0.7182,0.441,0.8482,0.0117,0.0116,0.3737,Improving
81,The University of Queensland,59.1,51.8,53.4,69.0,57.1,74.2,34718,0.33,0.27,2011,0.0358,0.5941,0.4765,0.5319,0.6869,0.571,0.7223,0.019,0.037,0.2727,Improving
101,Technical University of Munich,56.9,50.4,43.2,71.2,50.5,85.3,35565,0.32,0.2,2011,0.0448,0.5702,0.4612,0.4287,0.7091,0.505,0.8418,0.0195,0.0358,0.202,Improving
119,KU Leuven,54.8,57.7,62.9,45.2,97.7,29.6,42503,0.42,0.18,2011,0.0528,0.5473,0.541,0.6279,0.4465,0.977,0.2422,0.0233,0.0474,0.1818,Improving
120,Nanjing University,54.6,52.2,46.2,66.0,43.4,50.2,29743,0.13,0.1,2011,0.0533,0.5452,0.4809,0.459,0.6566,0.434,0.4639,0.0163,0.0139,0.101,Improving
