rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,rank_n,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,trend_category
1,Harvard University,96.1,99.7,98.7,98.8,34.5,72.4,20152,0.09,0.25,2011,0.0,0.9967,1.0,0.9899,0.9879,0.345,0.7029,0.011,0.0092,0.2525,Stable
3,Massachusetts Institute of Technology,95.6,97.8,91.4,99.9,87.5,82.3,11074,0.09,0.33,2011,0.0009,0.9913,0.9792,0.9161,0.999,0.875,0.8095,0.0061,0.0092,0.3333,Stable
4,Stanford University,94.3,98.3,98.1,99.2,64.3,29.5,15596,0.08,0.22,2011,0.0013,0.9771,0.9847,0.9838,0.9919,0.643,0.2411,0.0085,0.0081,0.2222,Stable
6,University of Cambridge,91.2,90.5,94.1,94.0,57.0,77.7,18812,0.12,0.34,2011,0.0022,0.9434,0.8995,0.9434,0.9394,0.57,0.76,0.0103,0.0127,0.3434,Stable
8,University of California-Berkeley,91.1,84.2,99.3,97.8,64.4,39.6,36186,0.16,0.15,2011,0.0031,0.9423,0.8306,0.996,0.9778,0.644,0.3498,0.0198,0.0173,0.1515,Stable
10,Yale University,89.5,92.1,89.7,91.5,63.1,59.2,11751,0.04,0.2,2011,0.004,0.9249,0.9169,0.8989,0.9141,0.631,0.5608,0.0064,0.0035,0.202,Stable
13,Johns Hopkins University,86.4,80.9,89.2,92.3,100.0,58.5,15128,0.04,0.23,2011,0.0054,0.8912,0.7945,0.8938,0.9222,1.0,0.5533,0.0083,0.0035,0.2323,Stable
17,University of Toronto,82.0,75.8,87.9,82.2,60.2,60.5,66198,0.2,0.15,2011,0.0072,0.8433,0.7388,0.8807,0.8202,0.602,0.5748,0.0363,0.022,0.1515,Stable
18,Columbia University,81.0,73.8,73.8,92.6,59.9,90.9,25055,0.06,0.28,2011,0.0076,0.8324,0.7169,0.7381,0.9253,0.599,0.902,0.0137,0.0058,0.2828,Stable
19,University of Pennsylvania,79.5,71.8,82.7,93.6,43.7,32.9,20376,0.07,0.2,2011,0.0081,0.8161,0.6951,0.8281,0.9354,0.437,0.2777,0.0112,0.0069,0.202,Stable
21,University of Hong Kong,79.2,68.4,71.4,96.1,56.5,91.4,19835,0.18,0.38,2011,0.009,0.8128,0.6579,0.7139,0.9606,0.565,0.9074,0.0109,0.0197,0.3838,Stable
24,Duke University,76.5,66.8,71.5,92.3,100.0,49.4,15172,0.05,0.17,2011,0.0103,0.7835,0.6404,0.7149,0.9222,1.0,0.4553,0.0083,0.0046,0.1717,Stable
25,Northwestern University,75.9,64.5,68.8,95.3,58.1,60.5,18334,0.14,0.15,2011,0.0107,0.7769,0.6153,0.6876,0.9525,0.581,0.5748,0.01,0.015,0.1515,Stable
32,University of California-San Diego,73.2,59.8,76.3,90.8,51.8,31.6,27233,0.07,0.11,2011,0.0139,0.7476,0.5639,0.7634,0.9071,0.518,0.2637,0.0149,0.0069,0.1111,Stable
36,University of Melbourne,71.0,58.7,69.2,83.3,47.7,88.0,40128,0.24,0.35,2011,0.0157,0.7236,0.5519,0.6916,0.8313,0.477,0.8708,0.022,0.0266,0.3535,Stable
39,�cole Polytechnique,69.5,57.9,56.1,91.4,55.7,77.9,2429,0.05,0.3,2011,0.017,0.7073,0.5432,0.5592,0.9131,0.557,0.7621,0.0013,0.0046,0.303,Stable
40,University of Edinburgh,69.2,59.9,61.9,86.8,42.2,67.3,25774,0.14,0.36,2011,0.0175,0.704,0.565,0.6178,0.8667,0.422,0.648,0.0141,0.015,0.3636,Stable
44,Karolinska Institute,67.0,65.8,72.7,62.3,73.3,56.5,7774,0.12,0.22,2011,0.0193,0.6801,0.6295,0.727,0.6192,0.733,0.5318,0.0043,0.0127,0.2222,Stable
48,�cole Polytechnique F�d�rale de Lausanne,66.5,55.0,56.1,83.8,38.0,100.0,9666,0.1,0.54,2011,0.021,0.6746,0.5115,0.5592,0.8364,0.38,1.0,0.0053,0.0104,0.5455,Stable
49,University of California-Irvine,66.0,49.4,54.7,91.6,54.4,66.3,26614,0.16,0.16,2011,0.0215,0.6692,0.4503,0.545,0.9152,0.544,0.6372,0.0146,0.0173,0.1616,Stable
55,Brown University,64.9,59.7,57.0,77.7,53.8,60.5,8653,0.1,0.19,2011,0.0242,0.6572,0.5628,0.5683,0.7747,0.538,0.5748,0.0047,0.0104,0.1919,Stable
57,Kyoto University,64.6,78.9,77.7,46.3,67.1,18.4,22809,0.06,0.07,2011,0.0251,0.654,0.7727,0.7776,0.4576,0.671,0.1216,0.0125,0.0058,0.0707,Stable
59,Boston University,64.0,53.6,51.9,91.4,29.6,38.1,24789,0.09,0.17,2011,0.026,0.6474,0.4962,0.5167,0.9131,0.296,0.3337,0.0136,0.0092,0.1717,Stable
61,Emory University,63.0,63.4,48.4,77.8,53.2,52.3,12338,0.04,0.18,2011,0.0269,0.6366,0.6033,0.4813,0.7758,0.532,0.4865,0.0068,0.0035,0.1818,Stable
62,LMU Munich,63.0,59.1,57.5,76.4,40.4,43.1,35691,0.15,0.13,2011,0.0273,0.6366,0.5563,0.5733,0.7616,0.404,0.3875,0.0196,0.0162,0.1313,Stable
74,University of Southern California,60.7,65.4,48.7,71.9,52.2,31.2,36534,0.13,0.2,2011,0.0327,0.6115,0.6251,0.4843,0.7162,0.522,0.2594,0.02,0.0139,0.202,Stable
